# E_center[eV], count
  7.500000E-001,3117
  2.250000E+000,2921
  3.750000E+000,1693
  5.250000E+000,1048
  6.750000E+000,561
  8.250000E+000,321
  9.750000E+000,159
  1.125000E+001,89
  1.275000E+001,48
  1.425000E+001,23
  1.575000E+001,6
  1.725000E+001,4
  1.875000E+001,4
  2.025000E+001,3
  2.175000E+001,3
  2.325000E+001,0
  2.475000E+001,0
  2.625000E+001,0
  2.775000E+001,0
  2.925000E+001,0
  3.075000E+001,0
  3.225000E+001,0
  3.375000E+001,0
  3.525000E+001,0
  3.675000E+001,0
  3.825000E+001,0
  3.975000E+001,0
  4.125000E+001,0
  4.275000E+001,0
  4.425000E+001,0
  4.575000E+001,0
  4.725000E+001,0
  4.875000E+001,0
  5.025000E+001,0
  5.175000E+001,0
  5.325000E+001,0
  5.475000E+001,0
  5.625000E+001,0
  5.775000E+001,0
  5.925000E+001,0
  6.075000E+001,0
  6.225000E+001,0
  6.375000E+001,0
  6.525000E+001,0
  6.675000E+001,0
  6.825000E+001,0
  6.975000E+001,0
  7.125000E+001,0
  7.275000E+001,0
  7.425000E+001,0
  7.575000E+001,0
  7.725000E+001,0
  7.875000E+001,0
  8.025000E+001,0
  8.175000E+001,0
  8.325000E+001,0
  8.475000E+001,0
  8.625000E+001,0
  8.775000E+001,0
  8.925000E+001,0
  9.075000E+001,0
  9.225000E+001,0
  9.375000E+001,0
  9.525000E+001,0
  9.675000E+001,0
  9.825000E+001,0
  9.975000E+001,0
  1.012500E+002,0
  1.027500E+002,0
  1.042500E+002,0
  1.057500E+002,0
  1.072500E+002,0
  1.087500E+002,0
  1.102500E+002,0
  1.117500E+002,0
  1.132500E+002,0
  1.147500E+002,0
  1.162500E+002,0
  1.177500E+002,0
  1.192500E+002,0
  1.207500E+002,0
  1.222500E+002,0
  1.237500E+002,0
  1.252500E+002,0
  1.267500E+002,0
  1.282500E+002,0
  1.297500E+002,0
  1.312500E+002,0
  1.327500E+002,0
  1.342500E+002,0
  1.357500E+002,0
  1.372500E+002,0
  1.387500E+002,0
  1.402500E+002,0
  1.417500E+002,0
  1.432500E+002,0
  1.447500E+002,0
  1.462500E+002,0
  1.477500E+002,0
  1.492500E+002,0
