x_center[m],residence_time[s],flux_density[m-2s-1]
  5.000000E-04,  1.146835E-07,  1.146835E+20
  1.500000E-03,  1.337043E-07,  1.337043E+20
  2.500000E-03,  1.389512E-07,  1.389512E+20
  3.500000E-03,  1.447256E-07,  1.447256E+20
  4.500000E-03,  1.451614E-07,  1.451614E+20
  5.500000E-03,  1.437119E-07,  1.437119E+20
  6.500000E-03,  1.433187E-07,  1.433187E+20
  7.500000E-03,  1.427310E-07,  1.427310E+20
  8.500000E-03,  1.409235E-07,  1.409235E+20
  9.500000E-03,  1.381013E-07,  1.381013E+20
  1.050000E-02,  1.366636E-07,  1.366636E+20
  1.150000E-02,  1.348582E-07,  1.348582E+20
  1.250000E-02,  1.320466E-07,  1.320466E+20
  1.350000E-02,  1.304034E-07,  1.304034E+20
  1.450000E-02,  1.279915E-07,  1.279915E+20
  1.550000E-02,  1.260091E-07,  1.260091E+20
  1.650000E-02,  1.245622E-07,  1.245622E+20
  1.750000E-02,  1.230714E-07,  1.230714E+20
  1.850000E-02,  1.212198E-07,  1.212198E+20
  1.950000E-02,  1.192209E-07,  1.192209E+20
  2.050000E-02,  1.170769E-07,  1.170769E+20
  2.150000E-02,  1.150622E-07,  1.150622E+20
  2.250000E-02,  1.122066E-07,  1.122066E+20
  2.350000E-02,  1.105481E-07,  1.105481E+20
  2.450000E-02,  1.085484E-07,  1.085484E+20
  2.550000E-02,  1.060623E-07,  1.060623E+20
  2.650000E-02,  1.040892E-07,  1.040892E+20
  2.750000E-02,  1.019586E-07,  1.019586E+20
  2.850000E-02,  1.004542E-07,  1.004542E+20
  2.950000E-02,  9.887160E-08,  9.887160E+19
  3.050000E-02,  9.649100E-08,  9.649100E+19
  3.150000E-02,  9.464420E-08,  9.464420E+19
  3.250000E-02,  9.147420E-08,  9.147420E+19
  3.350000E-02,  8.959220E-08,  8.959220E+19
  3.450000E-02,  8.823350E-08,  8.823350E+19
  3.550000E-02,  8.634900E-08,  8.634900E+19
  3.650000E-02,  8.485450E-08,  8.485450E+19
  3.750000E-02,  8.369460E-08,  8.369460E+19
  3.850000E-02,  8.211100E-08,  8.211100E+19
  3.950000E-02,  7.999870E-08,  7.999870E+19
  4.050000E-02,  7.829410E-08,  7.829410E+19
  4.150000E-02,  7.609260E-08,  7.609260E+19
  4.250000E-02,  7.495850E-08,  7.495850E+19
  4.350000E-02,  7.281480E-08,  7.281480E+19
  4.450000E-02,  7.118100E-08,  7.118100E+19
  4.550000E-02,  6.952340E-08,  6.952340E+19
  4.650000E-02,  6.790300E-08,  6.790300E+19
  4.750000E-02,  6.662510E-08,  6.662510E+19
  4.850000E-02,  6.498680E-08,  6.498680E+19
  4.950000E-02,  6.334830E-08,  6.334830E+19
  5.050000E-02,  6.154610E-08,  6.154610E+19
  5.150000E-02,  5.988960E-08,  5.988960E+19
  5.250000E-02,  5.841410E-08,  5.841410E+19
  5.350000E-02,  5.650900E-08,  5.650900E+19
  5.450000E-02,  5.457990E-08,  5.457990E+19
  5.550000E-02,  5.333290E-08,  5.333290E+19
  5.650000E-02,  5.192600E-08,  5.192600E+19
  5.750000E-02,  5.061170E-08,  5.061170E+19
  5.850000E-02,  4.907400E-08,  4.907400E+19
  5.950000E-02,  4.800900E-08,  4.800900E+19
  6.050000E-02,  4.626480E-08,  4.626480E+19
  6.150000E-02,  4.477680E-08,  4.477680E+19
  6.250000E-02,  4.298300E-08,  4.298300E+19
  6.350000E-02,  4.172900E-08,  4.172900E+19
  6.450000E-02,  4.069450E-08,  4.069450E+19
  6.550000E-02,  3.921120E-08,  3.921120E+19
  6.650000E-02,  3.842910E-08,  3.842910E+19
  6.750000E-02,  3.747300E-08,  3.747300E+19
  6.850000E-02,  3.629750E-08,  3.629750E+19
  6.950000E-02,  3.516380E-08,  3.516380E+19
  7.050000E-02,  3.432160E-08,  3.432160E+19
  7.150000E-02,  3.306250E-08,  3.306250E+19
  7.250000E-02,  3.155950E-08,  3.155950E+19
  7.350000E-02,  3.009090E-08,  3.009090E+19
  7.450000E-02,  2.875160E-08,  2.875160E+19
  7.550000E-02,  2.793170E-08,  2.793170E+19
  7.650000E-02,  2.672660E-08,  2.672660E+19
  7.750000E-02,  2.556690E-08,  2.556690E+19
  7.850000E-02,  2.434340E-08,  2.434340E+19
  7.950000E-02,  2.326370E-08,  2.326370E+19
  8.050000E-02,  2.229390E-08,  2.229390E+19
  8.150000E-02,  2.121080E-08,  2.121080E+19
  8.250000E-02,  2.035260E-08,  2.035260E+19
  8.350000E-02,  1.950100E-08,  1.950100E+19
  8.450000E-02,  1.839900E-08,  1.839900E+19
  8.550000E-02,  1.709540E-08,  1.709540E+19
  8.650000E-02,  1.601620E-08,  1.601620E+19
  8.750000E-02,  1.483060E-08,  1.483060E+19
  8.850000E-02,  1.377860E-08,  1.377860E+19
  8.950000E-02,  1.246670E-08,  1.246670E+19
  9.050000E-02,  1.143210E-08,  1.143210E+19
  9.150000E-02,  1.039290E-08,  1.039290E+19
  9.250000E-02,  9.376800E-09,  9.376800E+18
  9.350000E-02,  8.354200E-09,  8.354200E+18
  9.450000E-02,  7.259800E-09,  7.259800E+18
  9.550000E-02,  6.187900E-09,  6.187900E+18
  9.650000E-02,  5.058100E-09,  5.058100E+18
  9.750000E-02,  4.002600E-09,  4.002600E+18
  9.850000E-02,  2.919200E-09,  2.919200E+18
  9.950000E-02,  1.695800E-09,  1.695800E+18
